category_id,category_name,common_name,kingdom,supercategory
8442,Glechoma hederacea,ground-ivy,Plantae,Plants
8459,Marrubium vulgare,white horehound,Plantae,Plants
8484,Salvia azurea,giant blue sage,Plantae,Plants
8491,Salvia lyrata,lyreleaf sage,Plantae,Plants
8510,Stachys coccinea,scarlet hedgenettle,Plantae,Plants
8576,Castilleja hispida,harsh indian paintbrush,Plantae,Plants
8649,Linaria alpina,Alpine Toadflax,Plantae,Plants
8667,Penstemon newberryi,Mountain Pride,Plantae,Plants
8684,Sairocarpus coulterianus,Coulter's snapdragon,Plantae,Plants
8690,Veronica beccabunga,Brooklime,Plantae,Plants
8701,Veronica scutellata,Marsh Speedwell,Plantae,Plants
8708,Buddleja cordata,Buddleja cordata,Plantae,Plants
8758,Liriodendron tulipifera,tulip tree,Plantae,Plants
8801,Euphorbia myrsinites,Donkey Tail,Plantae,Plants
8851,Turnera ulmifolia,Yellow alder,Plantae,Plants
8852,Bischofia javanica,Bishop wood,Plantae,Plants
8963,Malvaviscus arboreus,Turk's cap,Plantae,Plants
8964,Malvella leprosa,alkali mallow,Plantae,Plants
9016,Metrosideros excelsa,Pohutukawa,Plantae,Plants
9087,Bauera rubioides,River Rose,Plantae,Plants
9101,Oxalis obtusa,yelloweye woodsorrel,Plantae,Plants
9123,Platanus wrightii,Arizona sycamore,Plantae,Plants
9130,Leucadendron salignum,Common Sunshine Conebush,Plantae,Plants
9135,Protea cynaroides,King Protea,Plantae,Plants
9141,Achlys triphylla,vanilla leaf,Plantae,Plants
9145,Berberis nervosa,Cascade Oregon-grape,Plantae,Plants
9148,Berberis trifoliolata,Agarita,Plantae,Plants
9194,Aconitum delphiniifolium,larkspurleaf monkshood,Plantae,Plants
9228,Clematis lasiantha,Pipestem Clematis,Plantae,Plants
9232,Clematis pitcheri,Pitcher's leatherflower,Plantae,Plants
9234,Clematis texensis,Scarlet Leather Flower,Plantae,Plants
9247,Eranthis hyemalis,Winter Aconite,Plantae,Plants
9254,Nigella damascena,love-in-a-mist,Plantae,Plants
9257,Pulsatilla occidentalis,white pasqueflower,Plantae,Plants
9265,Ranunculus cassubicus,Kashubian Buttercups,Plantae,Plants
9272,Ranunculus polyanthemos,Multi-flowered Buttercup,Plantae,Plants
9291,Celtis pallida,granjeno,Plantae,Plants
9358,Amelanchier alnifolia,Saskatoon,Plantae,Plants
9374,Dasiphora fruticosa,shrubby cinquefoil,Plantae,Plants
9394,Geum urbanum,Wood Avens,Plantae,Plants
9403,Petrophytum caespitosum,mat rock spiraea,Plantae,Plants
9422,Prunus emarginata,Bitter cherry,Plantae,Plants
9465,Rubus flagellaris,Common Dewberry,Plantae,Plants
9571,Acer macrophyllum,bigleaf maple,Plantae,Plants
9605,Echeveria gibbiflora,Echeveria gibbiflora,Plantae,Plants
9612,Sedum acre,Biting Stonecrop,Plantae,Plants
9629,Ribes cynosbati,prickly gooseberry,Plantae,Plants
9634,Ribes nigrum,Blackcurrant,Plantae,Plants
9665,Saxifraga aizoides,Yellow Saxifrage,Plantae,Plants
9670,Saxifraga tricuspidata,Prickly Saxifrage,Plantae,Plants
9686,Dichondra carolinensis,Carolina ponysfoot,Plantae,Plants
9746,Solanum pseudocapsicum,Jerusalem cherry,Plantae,Plants
9766,Krameria erecta,Pima Rhatany,Plantae,Plants
9767,Krameria lanceolata,prairie bur,Plantae,Plants
9778,Juniperus ashei,Ashe juniper,Plantae,Plants
9813,Picea rubens,red spruce,Plantae,Plants
9833,Pinus ponderosa,ponderosa pine,Plantae,Plants
9835,Pinus resinosa,red pine,Plantae,Plants
9843,Pinus virginiana,Virginia pine,Plantae,Plants
9847,Tsuga mertensiana,mountain hemlock,Plantae,Plants
9853,Podocarpus totara,totara,Plantae,Plants
9865,Dicksonia squarrosa,New Zealand tree fern,Plantae,Plants
9902,Asplenium polyodon,Mare's Tail Fern,Plantae,Plants
9920,Telmatoblechnum serrulatum,toothed midsorus fern,Plantae,Plants
9974,Cryptogramma acrostichoides,American parsley fern,Plantae,Plants
9981,Pellaea mucronata,bird's foot cliffbrake,Plantae,Plants
9997,Azolla filiculoides,water fern,Plantae,Plants
